*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=SPDT JUMPER Switch-Array-PCB
*Date=20:10:48
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
108;;THT;41.2756;-84.2809;0;Bottom;D-2
109;;;67.4913;-6.36101;0;Bottom;TXT1
110;;;58.4708;-124.957;0;Bottom;Copper Fill8
111;;;3.70276;-123.177;0;Bottom;TXT3
112;;;31.75;-100.802;0;Bottom;Copper Fill25
113;;;3.17565;-72.8508;0;Bottom;Hole8
114;;THT;34.9256;-36.0209;0;Bottom;D+5
115;;;31.75;-106.491;0;Bottom;Copper Fill18
116;;;68.1983;-120.925;0;Bottom;TXT2
117;;;61.6204;-73.4714;0;Bottom;Copper Fill44
118;;THT;41.2756;-66.5009;0;Bottom;D-3
119;;THT;15.8756;-102.061;0;Bottom;B-1
120;;;67.0623;-123.743;0;Bottom;TXT2
121;;;66.9;-136.326;0;Bottom;TXT2
122;;;61.0108;-69.0518;0;Bottom;Copper Fill48
123;;;12.7;-99.608;0;Bottom;Copper Fill28
124;;;31.75;-65.2418;0;Bottom;Copper Fill49
125;;;59.7408;-130.037;0;Bottom;Copper Fill6
126;;;55.245;-22.011;0;Bottom;Copper Fill63
127;;;19.0754;-107.736;0;Bottom;Copper Fill17
128;;THT;15.8756;-124.921;0;Bottom;B-
129;;;36.2204;-110.962;0;Bottom;Copper Fill20
130;;;61.0108;-86.8572;0;Bottom;Copper Fill34
131;;;60.3758;-66.5118;0;Bottom;Copper Fill51
132;;;67.4216;-9.04156;0;Bottom;TXT1
133;;;33.7058;-75.4272;0;Bottom;Copper Fill35
134;;;61.595;-102.072;0;Bottom;Copper Fill27
135;;THT;62.8656;-27.1309;0;Bottom;D+
136;;;19.0754;-130.037;0;Bottom;Copper Fill1
137;;;61.6204;-91.2514;0;Bottom;Copper Fill31
138;;;31.75;-88.1018;0;Bottom;Copper Fill32
139;;THT;62.8656;-85.5509;0;Bottom;B+
140;;;46.99;-34.7618;0;Bottom;Copper Fill61
141;;;67.3651;-72.7515;0;Bottom;TXT2
142;;THT;28.5756;-102.061;0;Bottom;C-1
