*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=4316ArrayPCB
*Date=16:29:09
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
101;;THT;160.823;-15.0746;-90;Bottom;J7-2
102;;THT;8.42306;-40.4746;-90;Bottom;C-1
103;;THT;104.943;-40.4746;-90;Bottom;C-9
104;;;123.647;-25.2657;0;Bottom;Copper Fill160
105;;THT;170.983;-25.2346;-90;Bottom;G7.1
106;;THT;40.1731;-25.2346;-90;Bottom;J2-3
107;;;127.152;-35.3876;0;Bottom;Copper Fill99
108;;THT;122.723;-12.5346;-90;Bottom;G5.2
109;;THT;56.6831;-65.8746;-90;Bottom;V+3.2
110;;THT;74.4631;-12.5346;-90;Bottom;G3.2
111;;THT;28.7431;-40.4746;-90;Bottom;V-1.1
112;;;3.34306;-3.64451;0;Bottom;Hole2
113;;;26.1493;-30.079;0;Bottom;Copper Fill136
114;;THT;187.493;-55.7146;-90;Bottom;J8-4
115;;THT;50.3331;-63.3346;-90;Bottom;V-2.2
116;;THT;28.7431;-63.3346;-90;Bottom;V-1.2
117;;THT;108.753;-43.0146;-90;Bottom;1S4S-5
118;;THT;40.1731;-20.1546;-90;Bottom;J2-4
119;;THT;64.3031;-15.0746;-90;Bottom;J3-2
120;;;17.223;-9.35109;0;Bottom;TXT1
121;;;170.929;-30.079;0;Bottom;Copper Fill148
122;;;49.8094;-34.1176;0;Bottom;Copper Fill89
123;;DIP (Dual Inline) [THT];41.4431;-32.8546;-90;Bottom;4361-2
124;;DIP (Dual Inline) [THT];162.093;-32.8546;-90;Bottom;4361-7
125;;THT;136.693;-40.4746;-90;Bottom;J6-7
126;;DIP (Dual Inline) [THT];17.3131;-32.8546;-90;Bottom;4361-1
127;;THT;74.4631;-63.3346;-90;Bottom;V-3.2
128;;;195.059;-13.569;0;Bottom;Copper Fill133
129;;THT;160.823;-22.6946;-90;Bottom;J7-1
130;;;75.3872;-25.2657;0;Bottom;Copper Fill164
131;;THT;177.333;-17.6146;-90;Bottom;J8-2
132;;THT;90.9731;-55.7146;-90;Bottom;J4-8
133;;THT;80.8131;-17.6146;-90;Bottom;J4-4
134;;THT;36.3631;-43.0146;-90;Bottom;1S4S-2
135;;THT;112.563;-25.2346;-90;Bottom;J5-1
136;;THT;13.5031;-20.1546;-90;Bottom;J1-4
137;;;147.777;-25.2657;0;Bottom;Copper Fill158
138;;THT;50.3331;-25.2346;-90;Bottom;G2.1
139;;THT;71.9231;-53.1746;-90;Bottom;J3-6
140;;THT;170.983;-40.4746;-90;Bottom;C-14
141;;THT;146.853;-43.0146;-90;Bottom;V-6.1
142;;THT;56.6831;-43.0146;-90;Bottom;V+3.1
143;;;74.4093;-30.079;0;Bottom;Copper Fill140
144;;THT;16.0431;-15.0746;-90;Bottom;J1-2
145;;;10.17;-9.32823;0;Bottom;TXT1
146;;;195.059;-28.0978;0;Bottom;Copper Fill151
147;;THT;50.3331;-12.5346;-90;Bottom;G2.2
148;;THT;160.823;-50.6346;-90;Bottom;J7-4
149;;THT;195.113;-63.3346;-90;Bottom;V-
150;;DIP (Dual Inline) [THT];65.5731;-32.8546;-90;Bottom;4361-3
151;;THT;141.773;-40.4746;-90;Bottom;J6-5
152;;THT;68.1131;-25.2346;-90;Bottom;2S3S-3
153;;THT;92.2431;-25.2346;-90;Bottom;2S3S-4
154;;THT;136.693;-20.1546;-90;Bottom;J6-4
155;;;16.8031;-57.7361;0;Bottom;TXT1
156;;;74.4093;-11.5878;0;Bottom;Copper Fill161
157;;THT;32.5531;-65.8746;-90;Bottom;V+2.2
158;;THT;146.853;-40.4746;-90;Bottom;C-12
159;;THT;129.073;-65.8746;-90;Bottom;V+6.2
160;;THT;132.883;-43.0146;-90;Bottom;1S4S-6
161;;;197.653;-3.64451;0;Bottom;Hole4
162;;;11.6223;-57.7544;0;Bottom;TXT1
163;;THT;122.723;-40.4746;-90;Bottom;C-10
164;;;71.3994;-34.1176;0;Bottom;Copper Fill92
165;;;122.669;-30.079;0;Bottom;Copper Fill144
166;;THT;60.4931;-43.0146;-90;Bottom;1S4S-3
167;;THT;74.4631;-40.4746;-90;Bottom;C-6
168;;THT;23.6631;-40.4746;-90;Bottom;J1-5
169;;THT;164.633;-25.2346;-90;Bottom;2S3S-7
170;;THT;181.143;-43.0146;-90;Bottom;1S4S-8
171;;THT;13.5031;-12.5346;-90;Bottom;Coils
172;;;51.2572;-29.0757;0;Bottom;Copper Fill139
173;;THT;153.203;-43.0146;-90;Bottom;V+7.1
174;;THT;160.823;-40.4746;-90;Bottom;J7-3
175;;THT;122.723;-25.2346;-90;Bottom;G5.1
176;;THT;26.2031;-12.5346;-90;Bottom;G1.2
177;;THT;88.4331;-25.2346;-90;Bottom;J4-1
178;;THT;117.643;-40.4746;-90;Bottom;J5-3
179;;THT;32.5531;-40.4746;-90;Bottom;C-3
180;;;28.6649;-57.7571;0;Bottom;TXT1
181;;THT;74.4631;-25.2346;-90;Bottom;G3.1
182;;THT;71.9231;-40.4746;-90;Bottom;J3-5
183;;THT;177.333;-25.2346;-90;Bottom;J8-1
184;;;25.7048;-34.1176;0;Bottom;Copper Fill85
185;;THT;64.3031;-25.2346;-90;Bottom;J3-1
186;;THT;153.203;-65.8746;-90;Bottom;V+7.2
187;;;146.799;-11.5878;0;Bottom;Copper Fill155
188;;THT;50.3331;-40.4746;-90;Bottom;C-4
189;;THT;146.853;-25.2346;-90;Bottom;G6.1
190;;THT;98.5931;-43.0146;-90;Bottom;V-4.1
191;;THT;177.333;-65.8746;-90;Bottom;V+8.2
192;;THT;177.333;-40.4746;-90;Bottom;C-15
193;;THT;80.8131;-43.0146;-90;Bottom;V+4.1
194;;;98.5393;-30.079;0;Bottom;Copper Fill142
