*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=SPDT-JUMPER-Switch-Array-PCB-big-pads
*Date=10:21:24
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
108;;;67.1605;-49.7264;0;Bottom;TXT2
109;;;65.4055;-141.431;0;Bottom;Hole9
110;;;68.5912;-62.4447;0;Bottom;TXT2
111;;;60.1218;-132.577;0;Bottom;Copper Fill6
112;;;67.2229;-52.4891;0;Bottom;TXT2
113;;;18.3896;-109.031;0;Bottom;Copper Fill12
114;;THT;47.6256;-123.651;0;Bottom;Out+
115;;;3.17565;-3.00082;0;Bottom;Hole6
116;;THT;8.25556;-124.921;0;Bottom;B+
117;;THT;42.5456;-51.2609;0;Bottom;D-4
118;;;29.9195;-34.5093;0;Bottom;TXT3
119;;THT;33.6556;-51.2609;0;Bottom;D+4
120;;;68.1983;-120.925;0;Bottom;TXT2
121;;;67.5175;-67.9314;0;Bottom;TXT2
122;;THT;62.8656;-34.7509;0;Bottom;C-
123;;THT;28.5756;-66.5009;0;Bottom;C-3
124;;;3.17565;-72.8508;0;Bottom;Hole8
125;;THT;20.9556;-124.921;0;Bottom;C+
126;;;4.32449;-101.564;0;Bottom;TXT3
127;;;66.8469;-105.786;0;Bottom;TXT2
128;;THT;42.5456;-66.5009;0;Bottom;D-3
129;;;60.1472;-66.5118;0;Bottom;Copper Fill28
130;;;20.9169;-97.2966;0;Bottom;Copper Fill45
131;;;60.7822;-86.8318;0;Bottom;Copper Fill22
132;;;22.4687;-10.7236;0;Bottom;TXT4
133;;;66.8611;-128.64;0;Bottom;TXT2
134;;THT;47.6256;-27.1309;0;Bottom;Out+
135;;;59.5122;-104.612;0;Bottom;Copper Fill17
136;;THT;42.5456;-84.2809;0;Bottom;D-2
137;;THT;47.6256;-83.0109;0;Bottom;Out+
138;;THT;42.5456;-102.061;0;Bottom;D-1
139;;;28.5369;-120.157;0;Bottom;Copper Fill44
140;;THT;28.5756;-84.2809;0;Bottom;C-2
141;;;61.5696;-40.5022;0;Bottom;Copper Fill32
142;;;67.0623;-123.743;0;Bottom;TXT2
143;;THT;33.6556;-124.921;0;Bottom;D+
144;;THT;62.8656;-14.4309;0;Bottom;D-
145;;;65.4055;-3.001;0;Bottom;Hole11
146;;THT;62.8656;-85.5509;0;Bottom;B+
