*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=4316d Single Inverter and resistive tone control pcb d
*Date=18:52:13
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
103;;;52.0573;-32.5842;0;Bottom;Copper Fill34
104;;;80.0568;-19.439;0;Bottom;Via24
105;;;106.667;-25.1166;0;Bottom;Copper Fill77
106;;;31.2166;-44.9159;0;Bottom;Copper Fill49
107;;;58.928;-30.9459;0;Bottom;Copper Fill46
108;;;119.367;-30.0188;0;Bottom;Copper Fill37
109;;;57.8866;-30.9459;0;Bottom;Copper Fill109
110;;;117.577;-47.4559;0;Bottom;Copper Fill114
111;;;52.0573;-32.5842;0;Bottom;Copper Fill99
112;;;24.1768;-29.599;0;Bottom;Via20
113;;;106.667;-25.1166;0;Bottom;Copper Fill125
114;;;41.3766;-55.0251;0;Bottom;Copper Fill42
115;;;124.447;-46.9352;0;Bottom;Copper Fill25
116;;;85.0773;-34.3622;0;Bottom;Copper Fill90
117;;;120.269;-30.9459;0;Bottom;Copper Fill105
118;;;58.4073;-30.4252;0;Bottom;Copper Fill44
119;;;120.269;-33.4859;0;Bottom;Copper Fill106
120;;;26.6573;-50.5166;0;Bottom;Copper Fill57
121;;;31.7373;-44.3952;0;Bottom;Copper Fill111
122;64k;THT;100.377;-28.329;0;Bottom;RT4
123;;;61.6966;-47.4559;0;Bottom;Copper Fill118
124;;;82.5373;-32.5842;0;Bottom;Copper Fill94
125;;;21.5773;-32.5842;0;Bottom;Copper Fill102
126;;THT;119.427;-10.549;180;Bottom;Invert T0 V4 T2 V2 T4 V0
127;;;62.2768;-47.379;0;Bottom;Via8
128;;;88.3666;-24.5959;0;Bottom;Copper Fill71
129;;;58.928;-16.9759;0;Bottom;Copper Fill54
130;;DIP (Dual Inline) [THT];15.2868;-37.219;-90;Bottom;4316-0
131;;;3.85679;-67.699;0;Bottom;Hole1
132;;;62.2173;-46.9352;0;Bottom;Copper Fill62
133;;;106.667;-24.0752;0;Bottom;Copper Fill78
134;;;83.058;-47.4559;0;Bottom;Copper Fill124
135;;;31.7373;-45.4366;0;Bottom;Copper Fill47
136;;THT;119.427;-34.679;0;Bottom;GND GND V- V+
137;100k;THT;92.7568;-44.839;0;Bottom;RV
138;;;107.188;-24.5959;0;Bottom;Copper Fill127
139;;;124.447;-47.9766;0;Bottom;Copper Fill86
140;;;124.968;-47.4559;0;Bottom;Copper Fill27
141;;;82.5373;-46.9352;0;Bottom;Copper Fill123
142;;;58.4073;-31.4666;0;Bottom;Copper Fill108
143;;;85.979;-33.4859;0;Bottom;Copper Fill30
144;100nF;100 mil [THT, multilayer];2.58679;-39.759;90;Bottom;Cdc
145;;;26.6573;-50.5166;0;Bottom;Copper Fill115
146;;;24.1173;-34.3622;0;Bottom;Copper Fill100
147;;;26.1366;-49.9959;0;Bottom;Copper Fill116
148;;;55.499;-33.4859;0;Bottom;Copper Fill97
149;;THT;2.58679;-27.059;0;Bottom;Coil+ Coil-
