*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ArduStompPCB03
*Date=20:30:30
*CreatedBy=Fritzing 0.8.3b.07.27.048f
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
107;;;47.1297;-80.3245;0;Bottom;Copper Fill59
108;;;58.6105;-59.9029;0;Bottom;Copper Fill14
109;;;53.501;-43.2794;90;Bottom;TXT1
110;;;3.8402;-5.27628;0;Bottom;Hole4
111;;;43.8404;-60.4744;0;Bottom;Copper Fill85
112;;;10.1771;-60.7457;0;Bottom;TXT1
113;;;69.7751;-27.7766;0;Bottom;TXT1
114;;;100.584;-78.5973;0;Bottom;Copper Fill45
115;1k;THT;89.152;-71.0152;-90;Bottom;R05
116;1k;THT;84.072;-71.0152;-90;Bottom;R07
117;;;72.644;-78.5973;0;Bottom;Copper Fill36
118;;;42.4688;-12.6208;0;Bottom;Copper Fill25
119;;;48.0441;-56.2961;0;Bottom;Copper Fill72
120;;;38.7846;-9.70609;0;Bottom;TXT1
121;;;74.0228;-85.0686;90;Bottom;TXT1
122;;THT;43.432;-11.3252;0;Bottom;Bluetooth
123;;;37.8841;-64.8813;0;Bottom;Copper Fill91
124;;;30.2641;-74.0761;0;Bottom;Copper Fill102
125;;;26.924;-50.9113;0;Bottom;Copper Fill1
126;;;98.9478;-43.8394;90;Bottom;TXT1
127;10k;THT;24.1641;-72.0674;-45;Bottom;R25
128;1k;THT;96.772;-71.0152;-90;Bottom;R02
129;1k;THT;63.752;-71.0152;-90;Bottom;R14
130;;;43.2318;-43.2794;90;Bottom;TXT1
131;;;58.5263;-44.0394;90;Bottom;TXT1
132;;;42.164;-43.2913;0;Bottom;Copper Fill11
133;;;38.0609;-21.8012;90;Bottom;TXT1
134;;;70.104;-78.5973;0;Bottom;Copper Fill35
135;1k;THT;73.912;-71.0152;-90;Bottom;R10
136;;;96.4298;-84.9004;90;Bottom;TXT1
137;;;11.1652;-68.3931;0;Bottom;TXT1
138;;;32.004;-48.3713;0;Bottom;Copper Fill3
139;;;10.0858;-58.1293;0;Bottom;TXT1
140;;;42.9641;-61.3761;0;Bottom;Copper Fill82
141;10k;THT;34.3241;-62.134;-45;Bottom;R22
142;;;18.032;-43.4595;90;Bottom;TXT1
143;;;21.9964;-59.5981;0;Bottom;Copper Fill49
144;;;58.6105;-61.9095;0;Bottom;Copper Fill13
145;;THT;38.352;-40.5352;-90;Bottom;Arduino MICRO (digital)
146;;;66.2305;-28.7625;0;Bottom;Copper Fill20
147;;;39.368;-14.8773;0;Bottom;TXT1
148;;;38.619;-4.82653;0;Bottom;TXT1
149;;;40.4241;-62.1127;0;Bottom;Copper Fill87
150;;;50.9905;-24.4445;0;Bottom;Copper Fill76
151;;;94.1705;-41.4625;0;Bottom;Copper Fill28
152;;;71.5466;-85.1138;90;Bottom;TXT1
153;;;76.5718;-84.84;90;Bottom;TXT1
154;;THT;15.492;-57.0452;180;Bottom;Switches
155;10k;THT;41.9441;-54.2874;-45;Bottom;R18
156;;;45.5041;-58.8361;0;Bottom;Copper Fill78
157;;;42.9641;-59.5727;0;Bottom;Copper Fill83
158;;;88.5673;-19.431;0;Bottom;IMG1
159;;THT;70.102;-81.1752;-90;Bottom;LED-01
160;;;94.1705;-39.6845;0;Bottom;Copper Fill77
161;;;45.9264;-43.7647;90;Bottom;TXT1
162;;;75.1586;-51.6479;0;Bottom;Copper Fill4
163;;;28.0827;-43.2794;90;Bottom;TXT1
164;;;91.3594;-44.2907;90;Bottom;TXT1
165;;;45.5041;-57.0327;0;Bottom;Copper Fill79
166;;;48.006;-81.2008;0;Bottom;Copper Fill60
167;;;63.972;-84.9129;90;Bottom;TXT1
168;;;22.7661;-20.712;90;Bottom;TXT1
169;;;94.1705;-39.6845;0;Bottom;Copper Fill29
170;10k;THT;31.7841;-64.4474;-45;Bottom;R22
171;10k;THT;44.4841;-51.7474;-45;Bottom;R17
172;;;20.8026;-62.1381;0;Bottom;Copper Fill48
173;1k;THT;99.312;-71.0152;-90;Bottom;R01
174;;;39.368;-12.328;0;Bottom;TXT1
175;;;25.5336;-43.2794;90;Bottom;TXT1
176;10k;THT;29.2441;-66.9874;-45;Bottom;R23
177;;;68.9973;-85.1138;90;Bottom;TXT1
178;;;62.484;-78.5973;0;Bottom;Copper Fill32
179;;;53.3554;-21.2566;90;Bottom;TXT1
180;;;11.1851;-47.9883;0;Bottom;TXT1
181;;;47.1297;-82.1025;0;Bottom;Copper Fill15
182;;;32.9625;-21.8012;90;Bottom;TXT1
183;;;11.1364;-55.5627;0;Bottom;TXT1
184;;;85.344;-78.5973;0;Bottom;Copper Fill39
185;;;66.2919;-45.6153;0;Bottom;Via1
186;;;29.337;-73.1744;0;Bottom;Copper Fill104
187;;;68.7705;-52.2829;0;Bottom;Copper Fill18
188;;;67.1068;-27.8608;0;Bottom;Copper Fill62
189;;;68.7705;-54.2895;0;Bottom;Copper Fill17
190;;;47.1297;-82.1025;0;Bottom;Copper Fill58
191;;;75.184;-78.5973;0;Bottom;Copper Fill37
192;1k;THT;91.692;-71.0152;-90;Bottom;R04
193;;;98.9789;-84.9004;90;Bottom;TXT1
194;;;36.957;-65.7576;0;Bottom;Copper Fill92
195;;;67.564;-78.5973;0;Bottom;Copper Fill34
196;;;26.797;-75.7144;0;Bottom;Copper Fill108
197;;;61.5641;-84.8832;90;Bottom;TXT1
198;;;101.237;-84.9004;90;Bottom;TXT1
199;;;10.6434;-50.527;0;Bottom;TXT1
200;;;26.797;-75.7144;0;Bottom;Copper Fill31
201;;dil16;90.4683;-57.1079;180;Bottom;Shift-00
202;;;47.117;-55.3944;0;Bottom;Copper Fill74
203;;;51.4604;-52.8544;0;Bottom;Copper Fill19
204;;;43.0862;-21.8012;90;Bottom;TXT1
205;;;45.7808;-21.8012;90;Bottom;TXT1
206;;;88.8104;-43.8394;90;Bottom;TXT1
207;;;81.5213;-61.9857;0;Bottom;Copper Fill22
208;1k;THT;78.992;-71.0152;-90;Bottom;R08
209;1k;THT;86.612;-71.0152;-90;Bottom;R06
210;;;83.7851;-43.9122;90;Bottom;TXT1
211;;;44.577;-57.9344;0;Bottom;Copper Fill80
212;;;36.2204;-68.0944;0;Bottom;Copper Fill97
213;;;25.8826;-51.9781;0;Bottom;Copper Fill51
214;;;38.9365;-7.30286;0;Bottom;TXT1
215;;;58.3806;-21.2566;90;Bottom;TXT1
216;;;38.4979;-17.3535;0;Bottom;TXT1
217;;;27.7241;-74.8127;0;Bottom;Copper Fill107
218;;;3.79541;-90.1875;0;Bottom;Hole3
219;;;48.9204;-55.3944;0;Bottom;Copper Fill75
220;;;93.8359;-44.2907;90;Bottom;TXT1
221;;;38.2065;-43.2794;90;Bottom;TXT1
222;;;45.9105;-39.6845;0;Bottom;Copper Fill71
223;;;27.1526;-49.4381;0;Bottom;Copper Fill52
224;;;48.0441;-54.4927;0;Bottom;Copper Fill73
225;;;103.908;-5.23338;0;Bottom;Hole1
226;;;32.8041;-71.5361;0;Bottom;Copper Fill98
227;;;22.9117;-43.2794;90;Bottom;TXT1
228;;;31.877;-70.6344;0;Bottom;Copper Fill100
229;;;53.6956;-47.1775;0;Bottom;Copper Fill55
230;;;35.366;-43.2794;90;Bottom;TXT1
231;;;27.7241;-76.6161;0;Bottom;Copper Fill30
232;;;30.559;-43.2794;90;Bottom;TXT1
233;;;40.7556;-43.2794;90;Bottom;TXT1
234;;THT;38.352;-25.2952;-90;Bottom;Arduino MICRO (analog)
235;;;10.2353;-63.3676;0;Bottom;TXT1
236;;;86.379;-84.9304;90;Bottom;TXT1
237;;;91.6813;-52.3591;0;Bottom;Copper Fill27
